,IATA,ICAO,Airline,Call sign,Country,Comments
4880,UG,SEN,SevenAir,S-BAR,United States,
4881,,SBF,Seven Bar Flying Service,SEVENAIR,Tunisia,
4882,,SBG,Sabre Incorporated,,United States,
4883,S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia,
4884,,SBL,Sobel Airlines of Ghana,SOBGHANA,Ghana,
4885,,SBM,SkyBahamas,SKY BAHAMAS,Bahamas,
4886,,SBO,Stabo Air,STABAIR,Zambia,
4887,,SBQ,SmithKline Beecham Clinical Labs,SKIBBLE,United States,
4888,,SBR,Saber Aviation,FREIGHTER,United States,
4889,BB,SBS,Seaborne Airlines,SEABORNE,United States,
4890,PV,SBU,St Barth Commuter,BLACK FIN,France,
4891,,URJ,Star Air,STARAV,Pakistan,
4892,,SBZ,Scibe Airlift,SCIBE AIRLIFT,Democratic Republic of the Congo,
4893,,AME,Spanish Air Force,AIRMIL,Spain,
4894,,SCA,South Central Air,SOUTH CENTRAL,United States,
4895,,SCC,Seacoast Airlines,SEA-COASTER,United States,
4896,K5,SQH,SeaPort Airlines,SASQUATCH,United States,Former airline: Wings of Alaska now part of SeaPort Airlines. Alternative callsign: WINGS (for VFR flights only). Former ICAO code: WAK.
4897,,SCE,Scenic Airlines,SCENIC,United States,
4898,,SCF,Socofer,SOCOFER,Angola,
4899,,SCI,Servicios Aéreos San Cristóbal,SAN CRISTOBAL,Mexico,
4900,,SCK,Sky Cam,SKYCAM,France,
4901,W3,SCL,Switfair Cargo,SWIFTAIR,Canada,
4902,,SCB,Saigon Capital Aircraft Management,SAIGON,Netherlands,
4903,,SCN,South American Airlines,SOUTH AMERICAN,Peru,
4904,,AHI,Servicios Aéreos de Chihuahua Aerochisa,AEROCHISA,Mexico,
4905,FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru,2014[2]
4906,UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka,
4907,,CDL,Sunbird Airlines,CAROLINA,United States,
4908,,SCP,Scorpio Aviation,SCORPIO,Egypt,
4909,,SCQ,Scandinavian Aviation Academy,SCAVAC,Sweden and San Diego,
4910,,SIC,SFS Aviation,SICHART,Thailand,
4911,,SCR,Silver Cloud Air,SILVER CLOUD,Germany,
4912,,SCS,South African Non Scheduled Airways,SOUTHERN CHARTERS,South Africa,
4913,,SCT,SAAB-Aircraft,SAAB-CRAFT,Sweden,
4914,,SCV,Servicios Aéreos Del Centro,SACSA,Mexico,
4915,SY,SCX,Sun Country Airlines,SUN COUNTRY,United States,
4916,,SDA,St. Andrews Airways,SAINT ANDREWS,Canada,
4917,,SDB,Sukhoi Design Bureau Company,SU-CRAFT,Russia,
4918,,SDC,Sunrise Airlines,SUNDANCE,United States,
4919,,SDD,Skymaster Air Taxi,SKY DANCE,United States,
4920,,SDE,Air Partners Corp.,STAMPEDE,Canada,
4921,,SDF,Sundorph Aeronautical Corporation,SUNDORPH,United States,
4922,,SDH,Servicio De Helicopteros,ARCOS,Spain,
4923,,SDK,SADELCA - Sociedad Aérea Del Caquetá,SADELCA,Colombia,
4924,,SDL,Skydrift,SKYDRIFT,United Kingdom,
4925,,SDN,Spirit of Africa Airlines,BLUE NILE,Sudan,
4926,,SDU,Sud Airlines,SUD LINES,France,
4927,,SDV,Servicios Aéreos Del Vaupes,SELVA,Colombia,
4928,,SDX,Servicio Tecnico Aero De Mexico,SERVICIO TECNICO,Mexico,
4929,,SDZ,Sudan Pezetel for Aviation,SUDANA,Sudan,
4930,,SEA,Southeast Air,SOUTHEAST AIR,United States,
4931,,SEB,Servicios Aéreos Luce,SERVILUCE,Mexico,
4932,,SED,Sedona Air Center,SEDONA AIR,United States,
4933,,SEE,Shaheen Air Cargo,SHAHEEN CARGO,Pakistan,
4934,,SEH,Sky Express,AIR CRETE,Greece,
4935,SG,SEJ,Spicejet,SPICEJET,India,
4936,,SEK,Skyjet,SKALA,Kazakhstan,
4937,,SEL,Sentel Corporation,SENTEL,United States,
4938,,SEO,Selcon Airlines,SELCON AIR,Nigeria,
4939,I6,SEQ,Sky Eyes,SKY EYES,Thailand,
4940,,SES,Servicio Aéreo Saltillo,SERVISAL,Mexico,
4941,EH,SET,SAETA,SAETA,Ecuador,
4942,,SEV,Serair Transworld Press,CARGOPRESS,Spain,
4943,,SFA,SEFA,SEFA,France,"defunct - absorbed into École Nationale de l'Aviation Civile, with new ICAO code NAK"
4944,,SFC,Shuswap Flight Centre,SHUSWAP,Canada,
4945,,SFE,Sefofane Air Charters,SEFOFANE,Botswana,"Rebranded ""Wilderness Air"""
4946,,SFF,Safewings Aviation Company,SWIFTWING,United States,
4947,,SFG,Sun Freight Logistics,AERO GULF,Thailand,
4948,7G,SFJ,Star Flyer,STARFLYER,Japan,
4949,,SFL,Southflight Aviation,SOUTHFLIGHT,New Zealand,
4950,,SFN,Safiran Airlines,SAFIRAN,Iran,
4951,,SFP,Safe Air,SAFE AIR,Pakistan,
4952,FA,SFR,Safair,CARGO,South Africa,
4953,,SFS,Southern Frontier Air Transport,SOUTHERN FRONTIER,Canada,
4954,,SFT,Skyfreight,SKYFREIGHT,United States,
4955,,SFU,Solent Flight,SAINTS,United Kingdom,
4956,,SFX,S.K. Logistics,SWAMP FOX,United States,
4957,,SGB,"Sky King, Inc.",SONGBIRD,United States,
4958,,SGC,Southern Right Air Charter,SOUTHERNRIGHT,South Africa,
4959,,SGD,Sky Gate International Aviation,AIR BISHKEK,Kyrgyzstan,
4960,,SGF,STAC Swiss Government Flights,STAC,Switzerland,
4961,,SGH,Servisair,SERVISAIR,United Kingdom,
4962,,SGI,Servicios Aéreos Agrícolas,SERAGRI,Chile,
4963,,SGK,Skyward Aviation,SKYWARD,Canada,
4964,,SGM,Sky Aircraft Service,SIGMA,Netherlands,
4965,,SGN,Siam GA,SIAM,Thailand,
4966,,SGP,Sagolair Transportes Ejecutivos,SAGOLAIR,Spain,
4967,,SGS,Saskatchewan Government Executive Air Service,SASKATCHEWAN,Canada,
4968,,SGT,Skygate,SKYGATE,Netherlands,
4969,,SGU,Samgau,RAUSHAN,Kazakhstan,
4970,,SGX,Saga Airlines,,Turkey,
4971,N5,SGY,Skagway Air Service,SKAGWAY AIR,United States,
4972,,SHB,Shabair,SHABAIR,Democratic Republic of the Congo,
4973,,SHC,Sky Harbor Air Service,SKY HARBOR CHEYENNE,United States,
4974,,SHD,Sahara Airlines,,Algeria,
4975,,SHE,Shell Aircraft,SHELL,United Kingdom,
4976,,SHG,Shoprite Group,SHOP AIR,United Kingdom,
4977,,SHI,Seoul Air International,SEOUL AIR,Republic of Korea,
4978,,SHJ,Sharjah Ruler's Flight,SHARJAH,United Arab Emirates,
4979,,SHK,Shorouk Air,,Egypt,
4980,,SHL,Samson Aviation,SAMSON,United Kingdom,
4981,,SHM,Sheltam Aviation,SHELTAM,South Africa,
4982,,SHN,Shaheen Airport Services,SUGAR ALFA,Pakistan,
4983,,SHO,Sheremetyevo-Cargo,,Russia,
4984,,SHP,Service Aerien Francais,SAF,France,
4985,,SHQ,Shanghai Airlines Cargo,SHANGHAI CARGO,China,
4986,,SHR,Shooter Air Courier,SHOOTER,Canada,
4987,,SHS,Shura Air Transport Services,SHURA AIR,Ethiopia,
4988,HZ,SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia,
4989,SP,SAT,SATA Air Acores,SATA,Portugal,
4990,8S,,Scorpio Aviation,,,
4991,,SHV,Shavano Air,SHAVANO,United States,
4992,,SHW,Shawnee Airline,SHAWNEE,United States,Air South
4993,,SHX,Slim Aviation Services,SLIM AIR,Nigeria,
4994,ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey,
4995,SQ,SIA,Singapore Airlines,SINGAPORE,Singapore,
4996,5M,SIB,Sibaviatrans,SIBAVIA,Russia,
4997,,SIE,Sierra Express,SEREX,United States,
4998,SI,SIH,Skynet Airlines,BLUEJET,Ireland,
4999,,SIJ,Seco International,,Japan,
5000,,SIL,Servicios Aeronáuticos Integrales,SERVICIOS INTEGRALES,Mexico,
5001,,SIM,Star Air,,Sierra Leone,
5002,,SIO,Sirio,SIRIO,Italy,
5003,,SIR,Salair,SALAIR,United States,
5004,,SIS,Saber Airlines,,Egypt,
5005,XS,SIT,SITA,,Belgium,
5006,,SIV,Slovenian Armed Forces,SLOVENIAN,Slovenia,
5007,,SIW,Sirio Executive,SIRIO EXECUTIVE,Italy,
5008,,SJA,Servicios Aéreos Especiales De Jalisco,SERVICIOJAL,Mexico,
5009,,SJC,Servicios Ejecutivos Continental,SERVIEJECUTIVO,Mexico,
5010,,SJE,Sunair 2001,SUNBIZ,South Africa,
5011,,SJJ,Spirit Aviation,SPIRIT JET,United States,
5012,,SJL,Servicios Especiales Del Pacifico Jalisco,SERVICIOS JALISCO,Mexico,
5013,,SJT,Swiss Jet,SWISS JET,Switzerland,
5014,,SJY,Sriwijaya Air,SRIWIJAYA,Indonesia,
5015,ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia,
5016,,ALC,"Southern Jersey Airways, Inc.",ACOM,United States,
5017,,SPS,SPASA,SALDUERO,Spain,
5018,,SPT,Speed Aviation,SPEED AVIATION,Bangladesh,
5019,,SPU,Southeast Airmotive,SPUTTER,United States,
5020,,SPV,Servicios Privados De Aviación,SERVICIOS PRIVADOS,Mexico,
5021,,SPW,Speedwings,SPEEDWING,Switzerland,
5022,,SPX,Service People Gesellschaft für Charter und Service,,Germany,
5023,,SQA,Slovak National Aeroclub,SLOVAK AEROCLUB,Slovakia,
5024,SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore,
5025,,SQF,Slovak Air Force,SLOVAK AIRFORCE,Slovakia,
5026,,SQL,Servicos De Alquiler,ALQUILER,Mexico,
5027,,SRA,Sair Aviation,SAIR,Canada,
5028,,SRC,Searca,SEARCA,Colombia,
5029,FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia,
5030,SX,SRK,Sky Work Airlines,SKYFOX,Switzerland,
5031,SM,SRL,Swedline Express,Starline,Sweden,Ceased operations 2006
5032,,SRL,Servicios Aeronáuticos Aero Personal,SERVICIOS PERSONAL,Mexico,
5033,,SRN,Sirair,SIRAIR,Russia,
5034,,SRO,Servicios Aéreos Ejecutivos Saereo,SAEREO,Ecuador,
5035,,SRQ,South East Asian Airlines,SEAIR,Philippines,Rebranded to Tiger Airways Philippines
5036,S6,SRR,Star Air,WHITESTAR,Denmark,
5037,,SRS,Selkirk Remote Sensing,PHOTO CHARLIE,Canada,
5038,,SRU,Star Up,STAR-UP,Peru,
5039,,SRW,Sarit Airlines,SARIA,Sudan,
5040,,SRX,Sierra Expressway Airlines,SIERRA EX,United States,
5041,,SRZ,Strato Air Services,STRATO,South Africa,
5042,,SSB,Sasair,SASIR,Canada,
5043,,SSC,Southern Seaplane,SOUTHERN SKIES,United States,
5044,,SSD,Star Service International,STAR SERVICE,France,
5045,,SSE,Servicios Aéreos Sunset,SUNSET,Mexico,
5046,D2,SSF,Severstal Air Company,SEVERSTAL,Russia,
5047,,SSG,Slovak Government Flying Service,SLOVAK GOVERNMENT,Slovakia,
5048,VD,BBB,SwedJet Airways,BLACKBIRD,Sweden,
5049,,SSK,Skystar International,SKYSTAR,United States,
5050,,SSO,Special Scope Limited,DOPE,United Kingdom,
5051,,SSP,Starspeed,STARSPEED,United Kingdom,
5052,QF,SSQ,Sunstate Airlines,SUNSTATE,Australia,Uses IATA of parent QANTAS.
5053,,SSS,SAESA,SAESA,Spain,
5054,,SST,Sunwest Airlines,SUNFLIGHT,Canada,
5055,,SSU,SASCA,SASCA,Venezuela,
5056,5G,SSV,Skyservice Airlines,SKYTOUR,Canada,defunct
5057,,SSW,Streamline Aviation,STREAMLINE,United Kingdom,
5058,,SSY,Sky Aviation,SIERRA SKY,Sierra Leone,
5059,,SSZ,Specsavers Aviation,SPECSAVERS,United Kingdom,
5060,,STA,Star Aviation,STAR,United Kingdom,
5061,,STB,Status-Alpha Airline,STATUS-ALPHA,Ukraine,
5062,,STC,Stadium City Limited,STADIUM,United Kingdom,
5063,,STD,Servicios De Aerotransportacion De Aguascalientes,AERO AGUASCALINETES,Mexico,
5064,,STE,Semitool Europe,SEMITRANS,United Kingdom,
5065,,STF,SFT-Sudanese Flight,,Sudan,
5066,,STG,"Sedalia, Marshall, Boonville Stage Line",STAGE,United States,
5067,,STH,South-Airlines,,Armenia,
5068,,STI,Sontair,SONTAIR,Canada,
5069,,STJ,Sella Aviation,STELLAVIA,Netherlands,
5070,RE,STK,Stobart Air,STOBART,Ireland,
5071,,STL,Stapleford Flight Centre,STAPLEFORD,United Kingdom,
5072,,STO,Streamline Ops,SLOPS,Russia,
5073,,STQ,Star Air,STERA,Indonesia,
5074,FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina,ICAO and call sign not current
5075,,STU,Star African Air,STARSOM,Somali Republic,
5076,,SUU,Star West Aviation,SUNSTAR,United States,
5077,,STV,Southern Aviation,SOUTHERN AVIATION,Ghana,
5078,,STW,South West Air Corporation,SIERRA WHISKEY,Philippines,
5079,,STX,Stars Away Aviation,STARSAWAY,South Africa,
5080,,STY,Styrian Airways,STYRIAN,Austria,
5081,,SUA,Silesia Air,AIR SILESIA,Czech Republic,
5082,,SUB,Suburban Air Freight,SUB AIR,United States,
5083,SD,SUD,Sudan Airways,SUDANAIR,Sudan,
5084,PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji,
5085,LW,FDY,Sun Air International,FRIENDLY,United States,
5086,,SUG,Sunu Air,SUNU AIR,Senegal,
5087,,SUH,Sun Light,LIGHT AIR,Kyrgyzstan,
5088,,SUI,Swiss Air Force,SWISS AIR FORCE,Switzerland,
5089,,SUK,Superior Aviation Services,SKYCARGO,Kenya,
5090,,SUM,State Unitary Air Enterprise,SUMES,Russia,
5091,,SUR,Sun Air,,Egypt,
5092,EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark,
5093,,URF,Surf Air,SURF AIR,United States,
5094,,SUT,Sistemas Aeronauuticos 2000,SISTEMAS AERONAUTICOS,Mexico,
5095,,SUV,Sundance Air,DANCEAIR,Venezuela,
5096,SV,SVA,Saudia,SAUDIA,Saudi Arabia,
5097,,SVD,St. Vincent Grenadines Air (1990),GRENADINES,Saint Vincent and the Grenadines,
5098,,SVF,Swedish Armed Forces,SWEDEFORCE,Sweden,
5099,,AWJ,Sahel Airlines,SAHEL AIRLINES,Niger,
5100,,SVH,Sterling Helicopters,SILVER,United Kingdom,
5101,,SVI,Servicios De Transporte Aéreo,SETRA,Mexico,
5102,,SVJ,Silver Air,,Djibouti,
5103,,SVL,Sevastopol-Avia,SEVAVIA,Ukraine,
5104,,SVN,Savanair (Angola),SAVANAIR,Angola,
5105,,SVO,Servicios Aeronáuticos De Oriente,SERVIORIENTE,Mexico,
5106,,SVS,Servicios Aéreos Saar,AEREOS SAAR,Mexico,
5107,,SVT,Seven Four Eight Air Services,SIERRA SERVICES,Luxembourg,
5108,,SVX,Security Aviation,SECURITY AIR,United States,
5109,WN,SWA,Southwest Airlines,SOUTHWEST,United States,
5110,,SWB,Swissboogie Parapro,SWISSBOOGIE,Switzerland,
5111,,SWC,South West Air,SAINT CLAIR,Canada,
5112,A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina,
5113,,SWE,Swedeways,SWEDELINE,Sweden,
5114,,,Spurling Aviation,AIR SEATTLE,United States,Code was ASL
5115,WG,SWG,Sunwing Airlines,SUNWING,Canada,
5116,,SWI,Sunworld Airlines,SUNWORLD,United States,
5117,,SWJ,StatesWest Airlines,STATES,United States,
5118,,SWO,Surinam International Victory Airline,SIVA,Suriname,
5119,,SWP,Star Work Sky,STAR WORK,Italy,
5120,,SWQ,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States,
5121,LX,SWR,Swiss International Air Lines,SWISS,Switzerland,
5122,SR,SWR,Swissair,SWISSAIR,Switzerland,defunct
5123,,SWS,Sunwest Aviation (Lindquist Investment),SUNNY WEST,United States,
5124,,SWT,Swiftair,SWIFT,Spain,
5125,LZ[30],SWU,Swiss Global Air Lines,EUROSWISS,Switzerland,
5126,WV,SWV,Swe Fly,FLYING SWEDE,Sweden,
5127,S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine,
5128,Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Swaziland,
5129,WO,WSW,Swoop,SWOOP,Canada,
5130,,SWY,Sky Jet,SWISSLINK,Switzerland,
5131,,SWZ,"Servair, Private Charter",SWISSBIRD,Switzerland,Code re-allocated
5132,S8,SWZ,Skywise Airline,SKYWISE,South Africa,
5133,,SXA,Southern Cross Aviation,FERRY,United States,
5134,,SXC,Sky Exec Aviation Services,SKY EXEC,Nigeria,
5135,,SXE,Southeast Express Airlines,DOGWOOD EXPRESS,United States,
5136,,SXM,Servicios Aéreos Especializados Mexicanos,SERVIMEX,Mexico,
5137,XQ,SXS,SunExpress,SUNEXPRESS,Turkey,
5138,,SXT,Servicios De Taxi Aéreo,SERTA,Mexico,
5139,,SXX,Satellite Aero,SATELLITE EXPRESS,United States,
5140,,SXY,Safari Express Cargo,SAFARI EXPRESS,Kenya,
5141,,SYA,Skyways,LINEAS CARDINAL,Argentina,
5142,,SYC,Systec 2000,SYSTEC,United States,
5143,,SYE,Sheba Aviation,,Yemen,
5144,,SYF,Sky One Express Airlines,SKY FIRST,United States,
5145,,SYG,Synergy Aviation,SYNERGY,United Kingdom,
5146,,SYI,Sonalysts,,United States,
5147,,SYJ,Slate Falls Airways,,Canada,
5148,,SYK,Satsair,AEROCAB,United States,(J and A Properties)
5149,,SYN,Syncrude Canada,SYNCRUDE,Canada,
5150,RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic,
5151,,SYS,Shawbury Flying Training Unit,SHAWBURY,United Kingdom,
5152,,SYV,Special Aviation Systems,SPECIAL SYSTEM,United States,
5153,AL,SYX,Skywalk Airlines,SKYWAY-EX,United States,(Astral Aviation)
5154,ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan,
5155,,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan,
5156,,SYY,South African Historic Flight,SKY COACH,South Africa,
5157,,SZT,Servicios Aeronáuticos Z,AERO ZEE,Mexico,
5158,,BHV,Specavia Air Company,AVIASPEC,Russia,
5159,,BLY,Starair,BLARNEY,Ireland,
5160,,BNC,Sundance Air,BARNACLE AIR,United States,
5161,E5,BRZ,Samara Airlines,BERYOZA,Russia,defunct
5162,,CBN,Swedish Civil Aviation Administration,CALIBRATION,Sweden,
5163,SC,CDG,Shandong Airlines,SHANDONG,China,
5164,,CDS,Spectrem Air,SPECDAS,South Africa,
5165,,CEE,Servicios Aéreos Centrales,CENTRA AEREOS,Mexico,
5166,,CFL,Swedish Airlines,SWEDISH,Sweden,
5167,,CGL,Seagle Air,SEAGLE,Slovakia,
5168,,CIG,Sirius-Aero,SIRIUS AERO,Russia,
5169,,CNK,Sunwest Home Aviation,CHINOOK,Canada,
5170,SK,CNO,SAS Braathens,SCANOR,Norway,
5171,9C,CQH,Spring Airlines,AIR SPRING,China,
5172,3U,CSC,Sichuan Airlines,SI CHUAN,China,
5173,FM,CSH,Shanghai Airlines,SHANGHAI AIR,China,Part of China Eastern Airlines
5174,,CSY,Shuangyang General Aviation,SHUANGYANG,China,
5175,ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China,
5176,8C,CXI,Shanxi Airlines,SHANXI,China,
5177,,DKT,Sioux Falls Aviation,DAKOTA,United States,
5178,,DKY,Servicios Aéreos Elite,DAKOY,Spain,
5179,,DNI,Servicios Aéreos Denim,AERO DENIM,Mexico,
5180,,EAB,Swiss Eagle,SWISS EAGLE,Switzerland,
5181,,EAN,Skypower Express Airways,NIGERIA EXPRESS,Nigeria,Express Airways Nigeria
5182,,ENR,Scenic Air,,Namibia,
5183,7L,ERO,Sun D'Or,ECHO ROMEO,Israel,
5184,NE,ESK,SkyEurope,RELAX,Slovakia,Defunct
5185,CQ,EXL,Sunshine Express Airlines,,Australia,
5186,,EXY,South African Express,EXPRESSWAYS,South Africa,
5187,,FFD,Stuttgarter Flugdienst,FIRST FLIGHT,Germany,
5188,,FFH,Shalom Air Services,PEACE AIR,Nigeria,
5189,,FJE,Silverjet,ENVOY,United Kingdom,
5190,,FLH,Sky Bus,MILE HIGH,United States,
5191,,GAD,South Coast Aviation,SOUTHCOAST,United Kingdom,
5192,,GDE,Servicios Aéreos Gadel,GADEL,Mexico,
5193,,GDG,S.P. Aviation,GOLDEN GATE,United States,
5194,,GIK,Seba Airlines,SEBA,Guinea,
5195,,GNA,Servicios Aéreos Gana,SERVIGANA,Mexico,
5196,,GSW,Sky Wings Airlines,,Greece,
5197,,GXL,Star XL German Airlines,STARDUST,Germany,
5198,,HAU,Skyhaul,SKYHAUL,Japan,
5199,,HIP,Starship,STARSA,Mexico,
5200,,HJE,Servicios Ejecutivos Gosa,GOSA,Mexico,
5201,SO,HKA,Superior Aviation,SPEND AIR,United States,
5202,,HLO,Samaritan Air Service,HALO,Canada,
5203,,HRI,Skyraidybos Mokymo Centras,HELIRIM,Lithuania,
5204,,HSK,Sky Europe Airlines,MATRA,Slovakia,
5205,,HSV,Svenska Direktflyg,HIGHSWEDE,Sweden,
5206,,HSY,Sky Helicopteros,HELISKY,Spain,
5207,TE,IGA,Skytaxi,IGUANA,Poland,
5208,,IJS,Silvair,,United States,
5209,,ILS,Servicios Aéreos Ilsa,SERVICIOS ILSA,Mexico,
5210,,INK,Sincom-Avia,SINCOM AVIA,Ukraine,
5211,,IRV,Safat Airlines,SAFAT AIR,Iran,
5212,,IRZ,Saha Airlines Services,SAHA,Iran,
5213,,JAM,Sunline Express,SUNTRACK,Kenya,
5214,,JCM,Secure Air Charter,SECUREAIR,United States,
5215,,JIM,Sark International Airways,SARK,United Kingdom,
5216,JK,JKK,Spanair,SPANAIR,Spain,defunct
5217,,KKS,Salem,KOKSHE,Kazakhstan,
5218,,KOP,Servicios Aéreos Copters,COPTERS,Chile,
5219,,KSP,Servicios Aéreos Expecializados En Transportes Petroleros,SAEP,Colombia,
5220,,KYB,Skybridge AirOps,SKY AIROPS,Italy,
5221,,KYR,Sky Aeronautical Services,SKY AERONAUTICAL,Mexico,
5222,,LGU,Servicios Aéreos Ejecutivos De La Laguna,LAGUNA,Mexico,
5223,,LLA,Servico Leo Lopex,LEO LOPOZ,Mexico,
5224,,LLS,Servicios Aéreos Estrella,SERVIESTRELLA,Mexico,
5225,,LMG,South African Air Force,SOUTH AFRICAN,South Africa,
5226,,LMO,Sky One Holdings as Privaira,SKY HOLDINGS,United States,"Callsign and company name changed from Sky Limo Corporation ""SKY LIMO"" in 2015.[31]"
5227,,LRS,Sansa,,Costa Rica,
5228,,LSP,Spectrum Aviation Incorporated,AIR TONY,United Kingdom,
5229,,MCG,SOS Helikoptern Gotland,MEDICOPTER,Sweden,
5230,,MDT,Sundt Air,MIDNIGHT,Norway,
5231,,MLO,Servicios Aéreos Milenio,MILENIO,Mexico,
5232,,MMS,SAAD (A320) Limited,MUSAAD AIR,Cayman Islands,
5233,,MRI,Servicios Aéreos Moritani,MORITANI,Mexico,
5234,2G*,MRR,San Juan Airlines,MARINER,United States,
5235,,MSG,Servico Aéreo Regional,SAR-REGIONAL,Mozambique,
5236,,MSP,Servicio De Vigilancia Aérea Del Ministerio De Seguridad Pública,SEGURIDAD,Costa Rica,
5237,,MTG,Servicios Aéreos MTT,,Mexico,
5238,1Z,APD,Sabre Pacific,,Australia,
5239,1S,,Sabre,,United States,
5240,1I,,Sierra Nevada Airlines,,United States,
5241,1H,,Siren-Travel,,Russia,
5242,1Q,,Sirena,,Russia,
5243,,SBW,Snowbird Airlines,SNOWMAN,Finland,
5244,1K,,Southern Cross Distribution,,Australia,
5245,1K,,Sutra,,United States,
5246,2C,,SNCF,,France,
5247,2S,,Star Equatorial Airlines,,Guinea,
5248,,NAD,Seulawah Nad Air,SEULAWAH,Indonesia,
5249,,NAZ,Servicios Aéreos del Nazas S.A. de C.V.,NAZAS,Mexico,
5250,,NCS,Simpson Air Ltd,COMMUTER-CANADA,Canada,
5251,NK,NKS,Spirit Airlines,SPIRIT WINGS,United States,
5252,,NON,Servicios Aéreos Latinoamericanos,SERVICIOS LATINO,Mexico,
5253,,NRZ,Servicios Aéreos Monarrez,MONARREZ,Mexico,
5254,,NSC,Societe De Transport Aerien De Mauritanie,TRANS-SOCIETE,Mauritania,
5255,,NSE,SATENA,SATENA,Colombia,
5256,,NTB,Servicios Aéreos Del Norte,SERVINORTE,Mexico,
5257,,NTG,Servicios Integrales De Aviación,INTEGRALES,Mexico,
5258,S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia,
5259,,OKT,Soko Aviation,SOKO AIR,Spain,
5260,,OLC,Solar Cargo,SOLARCARGO,Venezuela,
5261,,OLO,Soloflight,SOLO,United Kingdom,
5262,,ONG,Sonnig SA,SONNIG,Switzerland,
5263,SO,OSL,Sosoliso Airlines,SOSOLISO,Nigeria,
5264,,OSS,Servicios Aéreos Noticiosos,NOTICIOSOS,Mexico,
5265,,OTL,South Airlines,SOUTHLINE,Ukraine,
5266,VA,OZW,Virgin Australia Regional Airlines,VELOCITY,Australia,
5267,,PIV,Sokol,AEROSOKOL,Russia,
5268,,PLT,South Carolina Aeronautics Commission,PALMETTO,United States,
5269,,PMR,Servicios Aéreos Premier,SERVICIOS PREMIER,Mexico,
5270,,PNS,Survey Udara (Penas),PENAS,Indonesia,
5271,,POB,Servicios Aéreos Poblanos,POBLANOS,Mexico,
5272,,PSV,Servicios Aéreos Profesionales,PROSERVICIOS,Dominican Republic,
5273,,PTM,Southeastern Airways,POSTMAN,United States,
5274,,PUR,Spurwing Airlines,SPURWING,South Africa,
5275,1I,PZR,Sky Trek International Airlines,PHAZER,United States,
5276,,RBW,Shandong Airlines Rainbow Jet,CAI HONG,China,
5277,,REJ,SA Airlink Regional,REGIONAL LINK,South Africa,
5278,,RER,Servicio Aéreo Regional Regair,REGAIR,Ecuador,
5279,,RFT,Scoala Superioara De Aviatie Civila,ROMANIAN ACADEMY,Romania,
5280,,RGC,Servicios Aéreos Regiomontanos,REGIOMONTANO,Mexico,
5281,,RLS,S-Air,S-AIRLINES,Russia,
5282,,RMP,Servicios De Rampa Y Mostrador,SERAMSA,Mexico,
5283,,RSE,SNAS Aviation,RED SEA,Saudi Arabia,
5284,SX,SKB,Skybus Airlines,SKYBUS,United States,defunct
5285,,SKC,Skymaster Airlines,SKYMASTER AIR,Brazil,
5286,,SKD,Sky Harbor Air Service,SKY DAWG,United States,
5287,,SKE,Sky Tours,SKYISLE,United States,
5288,,AZG,Sakaviaservice,SAKSERVICE,Georgia,Defunct
5289,,SKF,Skycraft,SKYCRAFT,United States,
5290,,SKG,Skycraft Air Transport,SKYCRAFT-CANADA,Canada,
5291,RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands,IATA was QW
5292,,SKK,Skylink Aviation,SKYLINK,Canada,
5293,,SKL,Skycharter (Malton),SKYCHARTER,Canada,
5294,,SKN,Skyline Aviation Services,SKYLINER,United States,
5295,,SKO,Scottish Airways Flyers,SKYWORK,United Kingdom,
5296,,SKR,Skyscapes Air Charters,SKYSCAPES,South Africa,
5297,,SKS,Sky Service,SKY SERVICE,Belgium,Callsign re-allocated
5298,,SKS,Sky Link Aviation,,Pakistan,
5299,S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela,
5300,XT,SKT,SkyStar Airways,SKY YOU,Thailand,
5301,H2,SKU,Sky Airline,AEROSKY,Chile,
5302,OO,SKW,SkyWest Airlines,SKYWEST,United States,
5303,JZ,SKX,Skyways Express,SKY EXPRESS,Sweden,Ceased operations 2012; Operations continue as Avia Express
