,IATA,ICAO,Airline,Call sign,Country,Comments
1816,,AUN,Common Sky,COMMON SKY,Austria,
1817,,CBI,Cabi,CABI,Ukraine,
1818,,CPI,Compagnia Aerea Italiana,AIRCAI,Italy,
1819,5C,ICL,CAL Cargo Air Lines,CAL,Israel,
1820,,CMR,CAM Air Management,CAMEO,United Kingdom,
1821,,CTZ,CATA Línea Aérea,CATA,Argentina,
1822,,CCF,CCF Manager Airline,TOMCAT,Germany,
1823,,CED,CEDTA (Compañía Ecuatoriana De Transportes Aéreos),CEDTA,Ecuador,
1824,,HBI,CHC Denmark,HELIBIRD,Denmark,
1825,,HEM,CHC Helicopter,HEMS,Australia,
1826,AW,SCH,CHC Airways,SCHREINER,Netherlands,"formerly Schreiner Airways. ICAO code in use by another company, call sign no longer allocated"
1827,,HKS,CHC Helikopter Service,HELIBUS,Norway,
1828,,VCI,CI-Tours,CI-TOURS,Ivory Coast,
1829,,CKC,CKC Services,,United States,
1830,,CMZ,CM Stair,CEE-EM STAIRS,Mauritania,
1831,,CNT,Centre national d'études des télécommunications - C.N.E.T.,KNET,France,
1832,,OAP,COAPA AIR,COAPA,Mexico,
1833,,PDR,COMAV,SPEEDSTER,Namibia,
1834,,CRH,CRI Helicopters Mexico,HELI-MEX,Mexico,
1835,,IRO,CSA Air,IRON AIR,United States,
1836,,CSE,CSE Aviation,OXFORD,United Kingdom,
1837,,CTQ,CTK Network Aviation,CITYLINK,Ghana,
1838,,CBR,Cabair College of Air Training,CABAIR,United Kingdom,
1839,,CVE,Cabo Verde Express,KABEX,Cape Verde,
1840,,CWD,Caernarfon Airworld,AMBASSADOR,United Kingdom,
1841,,CXE,Caicos Express Airways,CAICOS,Turks and Caicos Islands,
1842,,CCE,Cairo Air Transport Company,,Egypt,
1843,,CGC,Cal Gulf Aviation,CAL-GULF,São Tomé and Príncipe,
1844,,REZ,Cal-West Aviation,CAL AIR,United States,
1845,,CSL,California Air Shuttle,CALIFORNIA SHUTTLE,United States,
1846,3C,CMV,Calima Aviación,CALIMA,Spain,
1847,MO,CAV,Calm Air,CALM AIR,Canada,
1848,R9,CAM,Camai Air,AIR CAMAI,United States,Village Aviation
1849,K6,KHV,Cambodia Angkor Air,ANGKOR AIR,Cambodia,
1850,UY,UYC,Cameroon Airlines,CAM-AIR,Cameroon,defunct
1851,,HSO,Campania Helicopteros De Transporte,HELIASTURIAS,Spain,
1852,C6,CJA,CanJet,CANJET,Canada,
1853,,PIL,Canada Jet Charters,PINNACLE,Canada,
1854,CP,CDN,Canadian Airlines,CANADIAN,Canada,defunct
1855,,CTG,Canadian Coast Guard,CANADIAN COAST GUARD,Canada,
1856,,HIA,Canadian Eagle Aviation,HAIDA,Canada,
1857,,CFC,Canadian Forces,CANFORCE,Canada,
1858,,BZD,Canadian Global Air Ambulance,BLIZZARD,Canada,ICAO Code and callsign no longer allocated
1859,,CDN,Canadian Helicopters,CANADIAN,Canada,
1860,,TKR,Canadian Interagency Forest Fire Centre,TANKER,Canada,ICAO Code and callsign no longer allocated
1861,,XNC,Canadian National Telecommunications,,Canada,ICAO Code and callsign no longer allocated
1862,5T,MPE,Canadian North,EMPRESS,Canada,Air Norterra
1863,CP,CPC,Canadian Pacific Airlines,EMPRESS,Canada,ICAO Code and callsign no longer allocated
1864,,CDR,Canadian Regional Airlines,CANADIAN REGIONAL,Canada,ICAO Code and callsign no longer allocated
1865,,CWH,Canadian Warplane Heritage Museum,WARPLANE HERITAGE,Canada,
1866,W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada,
1867,,CWW,Canair,CANAIR,China,
1868,,CUI,Cancun Air,CAN-AIR,Mexico,
1869,9K,KAP,Cape Air,CAIR,United States,
1870,,CTO,Cape Air Transport,,Australia,
1871,,SEM,Cape Central Airways,SEMO,United States,
1872,,CMY,Cape Smythe Air,CAPE SMYTHE AIR,United States,
1873,,CPX,Capital Air Service,CAPAIR,United States,
1874,,CPD,Capital Airlines,CAPITAL DELTA,Kenya,
